id,name,functional,reaction_count
YBR020W,,True,1
YBL033C,,True,1
YNR008W,,True,1
YDL198C,,True,1
YBR018C,,True,2
YGL248W,,True,1
YKL035W,,True,1
YDL238C,,True,1
YOR360C,,True,5
YDR399W,,True,2
YHL012W,,True,1
YNL071W,,True,1
YLL052C,,True,1
YGR193C,,True,1
YPR192W,,True,1
YDR536W,,True,3
YBR221C,,True,2
YLR081W,,True,2
YDR234W,,True,1
YER178W,,True,2
YNR041C,,True,1
YBR035C,,True,4
YDL182W,,True,1
YNL318C,,True,1
YGR147C,,True,1
YDL040C,,True,1
YGR192C,,True,1
YDL131W,,True,1
YKR093W,,True,1
YPL273W,,True,1
YJL052W,,True,1
YGR007W,,True,1
YJR009C,,True,1
YLL062C,,True,1
YGR157W,,True,1
YMR205C,,True,3
YER141W,,True,1
YDR408C,,True,1
YGR240C,,True,3
YKR067W,,True,2
YBL011W,,True,2
YDR376W,,True,1
YIL107C,,True,1
YPL252C,,True,1
YOL136C,,True,1
YEL011W,,True,1
YER081W,,True,1
YMR189W,,True,8
YPL172C,,True,1
YIL074C,,True,1
YPL214C,,True,2
YCR012W,,True,1
YGL253W,,True,3
YAL044C,,True,8
YNR034W,,True,1
YFR053C,,True,3
YHR163W,,True,1
YDR019C,,True,8
YGR248W,,True,1
YGL225W,,True,1
YIL094C,,True,1
YOL056W,,True,1
YCL030C,,True,3
YKL104C,,True,1
YDL021W,,True,1
YMR105C,,True,2
YMR085W,,True,1
YMR084W,,True,1
YFR025C,,True,1
YKL127W,,True,2
YPR033C,,True,2
YLR058C,,True,1
YGL202W,,True,3
YHR137W,,True,3
YBR263W,,True,1
YPR184W,,True,1
YGR191W,,True,1
YLR060W,,True,1
YFL022C,,True,1
YMR088C,,True,2
YIL099W,,True,1
YPR160W,,True,1
YPR047W,,True,1
YCL069W,,True,2
YKL212W,,True,1
YFR015C,,True,2
YJL137C,,True,2
YNL106C,,True,2
YKR058W,,True,2
YLR231C,,True,2
YOR109W,,True,2
YDL205C,,True,1
YFR019W,,True,1
YML075C,,True,1
YLR258W,,True,2
YOL065C,,True,1
YPR035W,,True,1
YIL002C,,True,1
YLR450W,,True,1
YPL268W,,True,1
YOR168W,,True,1
YDR208W,,True,1
YLR195C,,True,1
YML126C,,True,2
YOL055C,,True,2
YKL203C,,True,1
YJR066W,,True,1
YPL258C,,True,2
YDR300C,,True,1
YLR240W,,True,1
YJL101C,,True,1
YMR250W,,True,1
YPR121W,,True,1
YNL267W,,True,2
YER023W,,True,3
YLR305C,,True,1
YJR139C,,True,2
YDL215C,,True,1
YPR113W,,True,1
YNL277W,,True,1
YJR077C,,True,1
YHR025W,,True,1
YOR375C,,True,1
YML123C,,True,1
YAL062W,,True,1
YIL116W,,True,1
YNR013C,,True,1
YCR037C,,True,1
YNL037C,,True,1
YCL040W,,True,2
YBR296C,,True,1
YMR300C,,True,1
YJL198W,,True,1
YDL171C,,True,1
YOR136W,,True,1
